document_id,source_relative_path,source_sha256,page_number,extraction_method,ocr_average_confidence,native_text_characters,extracted_text_characters,review_required,review_reasons,text_file
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,2,ocr,60.86764705882353,0,536,True,low_ocr_confidence,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0002.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,3,ocr,47.44206008583691,0,830,True,low_ocr_confidence,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0003.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,4,ocr,91.0,0,718,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0004.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,5,ocr,86.15384615384616,0,322,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0005.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,6,ocr,85.60135135135135,0,714,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0006.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,7,ocr,76.74149659863946,0,725,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0007.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,8,ocr,79.57971014492753,0,319,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0008.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,9,ocr,81.74025974025975,0,394,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0009.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,10,ocr,83.6140350877193,0,297,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0010.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,11,ocr,79.61538461538461,0,234,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0011.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,12,ocr,93.92592592592592,0,149,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0012.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,13,ocr,92.20689655172414,0,149,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0013.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,14,ocr,90.6625,0,815,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0014.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,15,ocr,95.54545454545455,0,114,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0015.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,16,ocr,95.5909090909091,0,114,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0016.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,17,ocr,95.5909090909091,0,114,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0017.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,18,ocr,92.73913043478261,0,117,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0018.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,19,ocr,95.86363636363636,0,114,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0019.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,20,ocr,95.77272727272727,0,114,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0020.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,21,ocr,78.67857142857143,0,128,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0021.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,22,ocr,95.83333333333333,0,120,False,,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0022.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,23,ocr,66.0,0,153,True,low_ocr_confidence,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0023.txt
200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e,2. ChinaAcquisitionExploitationAmericanVoterData\200M Voter Records Compromised - declass marked_Redacted.pdf,9a5bbd6a923e4794e03edcd0403498510c55e81f0baf2bd1944c172af7c48cf6,24,ocr,0.0,0,0,True,low_ocr_confidence;low_text_yield,page_text\200m_voter_records_compromised_declass_marked_redacted_9a5bbd6a923e\page_0024.txt
cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a,2. ChinaAcquisitionExploitationAmericanVoterData\CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf,1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,1,ocr,77.50583657587549,57,2623,False,,page_text\cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a\page_0001.txt
