document_id,category,source_relative_path,source_sha256,source_bytes,page_count,pdf_title,pdf_author,pdf_creator,pdf_creation_date,ocr_pdf_status,ocr_pdf_file,duplicate_source_file
fbimichigan_2021_dont_want_to_close_memo_release_marked_bb7e982ddca3,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan 2021 Dont Want To Close Memo RELEASE MARKED.pdf,bb7e982ddca3b8ef57f2bc1b416f49ad54cdc8aee7299baac8ac88980b107dc8,1489123,3,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_fake_voter_3_memo_release_marked_710057933a75,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Fake Voter 3 Memo RELEASE MARKED.pdf,710057933a7574ae671309dc9cab28b01e161eaea9ba3cb91325bfb99c3c3d20,120823,1,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_fake_voter_memo_1_release_marked_a3d644ba6d40,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Fake Voter Memo 1 RELEASE MARKED.pdf,a3d644ba6d4041ee69402c8b4e024f514b01f1d06cce2cff13339594b9514a1e,142388,1,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_fake_voter_memo_2_release_marked_74a00cec7d5b,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Fake Voter Memo 2 RELEASE MARKED.pdf,74a00cec7d5bf038540dbf86f436f837789cb4d3ffdad2db7b57926be089b052,140361,1,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_four_year_case_timeline_release_marked_a4f65bc58ed2,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Four Year Case Timeline RELEASE MARKED.pdf,a4f65bc58ed23b1029ee259a60348ef946deb40108a7298b1217d037d6da9ebd,1613002,3,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_fraudulent_registration_applications_91_of_107_release_marke_daad2e920443,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Fraudulent Registration Applications 91 of 107 RELEASE MARKED.pdf,daad2e92044301e2cccff57873b3b10185d5f12051320c407148e18dc22dabd9,699453,1,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_fraudulent_request_memo2_release_marked_c03f83fb2d54,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Fraudulent Request Memo2 RELEASE MARKED.pdf,c03f83fb2d54eae2a0e0d0fe58f7a58a89558f531c58e5136e1f8a934317748a,1209711,2,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_orginal_muskego_msp_referral_release_marked_4ae64fd6128c,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Orginal Muskego MSP Referral RELEASE MARKED.pdf,4ae64fd6128c48a1495cfb4006e462c77477e9331a063551fdf9e8537e1d3fd7,790612,4,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_pin2023_delay_memo_release_marked_2d0f60c802ac,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan PIN2023 Delay Memo - RELEASE MARKED.pdf,2d0f60c802ac40616705c6fa949c013411f56b20b5e90884aa32030102757ab5,1177305,3,,,,,skipped: ocrmypdf_not_installed,,False
fbimichigan_voter_confirms_she_did_not_register_but_got_ballot_release_m_934137a1d722,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\FBIMichigan Voter Confirms She Did Not Register But Got Ballot RELEASE MARKED.pdf,934137a1d72245ceefad5d58d881d1972b0bc8b9c38e5c1a2eada7e1b1b04983,927529,2,,,,,skipped: ocrmypdf_not_installed,,False
